id,description,tags,decision,confidence,evidence,rationale
AL-1,"for constructing the Bridge Replacement (Grading, Drainage, Pavement, and Bridge Removal) on SR-14 over the Sipsey River. Length 0.700 mi.","Bridge Construction and Repair, Drainage and Water Management, Roadway Rehabilitation and Resurfacing",PUBLISH,1.0,"for constructing the Bridge Replacement (Grading, Drainage, Pavement, and Bridge Removal) on SR-14 over the Sipsey River",Score 1.0 >= 0.65
AK-1,This federally funded contract includes all necessary design and construction services as required to replace the existing passenger boarding bridge (PBB) located at Gate B6 in the South Terminal at Ted Stevens Anchorage International Airport.,"Bridge Construction and Repair, New Construction and Expansion",PUBLISH,1.0,replace the existing passenger boarding bridge (PBB),Score 1.0 >= 0.65
AZ-1,"The proposed project is located in Coconino County on State Route (SR 64) between MP 185.79 and MP 205 from I-40 to Pipeline Road within the Kaibab National Forest. The work consists of Pavement rehabilitation of the existing roadway and constructs turning lanes at various locations within the project limits. The works includes milling the existing travel lanes and shoulders and replacing it with Stone Matrix Asphalt Concrete, paving the existing unpaved turnouts and rehabilitate the existing turnouts, roadway widening for new turn lanes, remove and replace existing guardrail, shoulder buildup. The work also includes replacing the existing bridge barrier, box culvert extension, installing a new precast reinforced concrete box culvert, and sealing the bridge deck with methacrylate, pavement marking and other related works.","Roadway Rehabilitation and Resurfacing, Bridge Construction and Repair, Maintenance and Upkeep",PUBLISH,1.0,The work consists of Pavement rehabilitation of the existing roadway and constructs turning lanes at various locations within the project limits.,Score 1.0 >= 0.65
AZ-2,"The proposed project is located on Navajo Nation and Hopi lands in Coconino County begins at Tuba City and extends east along US 160 from Milepost 321.80 to Milepost 335. The proposed work consists of mill and replaces AC, remove and replace guardrail, extend pipe culverts, pavement marking and other related work.","Roadway Rehabilitation and Resurfacing, Maintenance and Upkeep, Drainage and Water Management",PUBLISH,1.0,"The proposed work consists of mill and replaces AC, remove and replace guardrail, extend pipe culverts, pavement marking and other related work.",Score 1.0 >= 0.65
AR-1,"THE PURPOSE OF THIS PROJECT IS TO WIDEN APPROXIMATELY 1.431 MILES OF HIGHWAY 112, CONSTRUCT A PEDESTRIAN TUNNEL, CONSTRUCT THREE ROUNDABOUTS, AND MOVE CITY UTILITIES IN FAYETTEVILLE IN WASHINGTON COUNTY. THIS PROJECT CONSISTS OF CLEARING AND GRUBBING, REMOVAL AND DISPOSAL ITEMS, FLOWABLE SELECT MATERIAL, EARTHWORK, SELECT GRANULAR BACKFILL, AGGREGATE BASE COURSE, PORTLAND CEMENT CONCRETE BASE, ACHM BASE, BINDER, AND SURFACE COURSES, COLD MILLING ASPHALT PAVEMENT, ACHM PATCHING OF EXISTING ROADWAY, PORTLAND CEMENT CONCRETE PAVEMENT, PORTLAND CEMENT CONCRETE DRIVEWAY, MAINTENANCE OF TRAFFIC, CONCRETE DITCH PAVING, MINOR DRAINAGE, EROSION CONTROL, CONCRETE ISLAND, WALKS, AND CURB, WHEELCHAIR RAMPS, TRAFFIC SIGNAL ITEMS, ILLUMINATION ITEMS, SIGNING ITEMS, UTILITY ITEMS, PAVEMENT MARKING, CONSTRUCT ONE QUAD. R.C. BOX CULVERT (35.00'), PAVEMENT MARKING, AND MISC. ITEMS.","New Construction and Expansion, Roadway Rehabilitation and Resurfacing, Traffic and Safety Improvements",PUBLISH,1.0,"CONSTRUCT A PEDESTRIAN TUNNEL, CONSTRUCT THREE ROUNDABOUTS",Score 1.0 >= 0.65
CA-1,CONSTRUCTION ON STATE HIGHWAY IN NEVADA COUNTY NEAR GRASS VALLEY FROM 0.2 MILE SOUTH OF LA BARR MEADOWS ROAD TO 0.1 MILE NORTH OF SOUTH GRASS VALLEY OVERCROSSING In District 03 On Route 49,"New Construction and Expansion, Roadway Rehabilitation and Resurfacing",PUBLISH,1.0,CONSTRUCTION ON STATE HIGHWAY IN NEVADA COUNTY NEAR GRASS VALLEY FROM 0.2 MILE SOUTH OF LA BARR MEADOWS ROAD TO 0.1 MILE NORTH OF SOUTH GRASS VALLEY OVERCROSSING,Score 1.0 >= 0.65
CO-1,I-25 SEGMENT 5 (MP 242.5 TO 255.5),"Roadway Rehabilitation and Resurfacing, Maintenance and Upkeep",PUBLISH,1.0,I-25 SEGMENT 5 (MP 242.5 TO 255.5),Score 1.0 >= 0.65
CT-1,REHABILITATION OF BRIDGE NO.06729 U.S. ROUTE 6 OVER AN UNNAMED BROOK TOWNS OF WINDHAM AND MANSFIELD,Bridge Construction and Repair,PUBLISH,1.0,REHABILITATION OF BRIDGE NO.06729,Score 1.0 >= 0.65
DE-1,"PAVEMENT & REHABILITATION, KENT II, (WHITELEYSBURG & VERNON), 2025 - The proposed improvements will consist of pavement milling, bit. asphalt patching, asphalt mix overlay and pavement markings. Follow other incidental construction in accordance with the location, notes and details shown on the plans, and as directed by the Engineer.",Roadway Rehabilitation and Resurfacing,PUBLISH,1.0,"pavement milling, bit. asphalt patching, asphalt mix overlay and pavement markings",Score 1.0 >= 0.65
FL-1,"LETTING LOCATION: Florida Department of Transportation-D6 POSTING DATES: 11/18/2025 and 12/02/2025 CONTRACT DAYS: 365 CONTRACT EXECUTION DAYS: 10 SPECIAL START DATE: N/A ACQUIS./FLEXIBLE START TIME: N/A This is a Bid Factor contract to perform mowing, litter removal and edging on various state roads in Miami-Dade County. The limits and estimated quantities per cycle, per section of the roadway are specified in Attachment 'A' on pages 36 through 38 of the Specifications Package. This is a work order driven contract. METHOD OF PROCUREMENT- Bid Factor Method: The original scope of work as defined by the estimated number of units for each pay item is approximate and represents estimated planned work requirements based on historical or specific project needs. Work Documents will identify the location, description, amount of work to be performed and the number of calendar days to complete the work. Under Bid-Build Pushbutton contracting, the Department does not guarantee any maximum quantity, minimum quantity or range of quantities, or work to be performed. Use the Department's quantities and prices listed for each item in the Bid Price Proposal to determine a single bid factor. The bid factor will be used to determine the low bidder; however, actual payment under the awarded contract will be based on actual quantities completed. -The Department provides quantities and predetermined Base Unit Prices for pay items which are included in the Advertisement. -The Bidder shall propose a single Bid Factor expressed as a number carried out to 3 decimal places. The proposed Bid Factor will be applied to all predetermined pay item Base Unit Prices included in the advertisement. -The Bid Factor of 1.000 shall be 100% of the Base Unit Price, any number above 1.000 will increase the Base Unit Price, and any number below 1.000 will decrease the Base Unit Price. -The lowest Bidder will be determined by the lowest Bid Factor submitted in response to the advertisement. -Award of the contract is based upon the bidder who submits a responsive and responsible bid with the lowest Bid Factor. REQUIRED SUBMITTAL WITH BID: Bid Factor Bidding Sheet MUST be submitted with the bid as an attachment, or your bid will be deemed non-responsive.",Maintenance and Upkeep,PUBLISH,1.0,"This is a Bid Factor contract to perform mowing, litter removal and edging on various state roads in Miami-Dade County.",Score 1.0 >= 0.65
